Date,Open,High,Low,Close
2021-04-01 18:55:00,58692.79,58760.53,58650.0,58716.56
2021-04-01 19:00:00,58716.56,58780.78,58627.81,58657.35
2021-04-01 19:05:00,58657.36,58750.0,58599.67,58736.15
2021-04-01 19:10:00,58736.14,58881.3,58703.31,58852.82
2021-04-01 19:15:00,58852.83,58917.0,58726.35,58800.0
2021-04-01 19:20:00,58800.0,58812.47,58683.01,58711.64
2021-04-01 19:25:00,58711.64,58750.01,58660.0,58701.79
2021-04-01 19:30:00,58701.79,58790.58,58690.13,58725.98
2021-04-01 19:35:00,58725.98,58798.96,58690.0,58773.27
2021-04-01 19:40:00,58776.08,58900.0,58766.65,58845.59
2021-04-01 19:45:00,58840.02,58953.24,58822.79,58845.5
2021-04-01 19:50:00,58845.5,58919.0,58800.05,58864.18
2021-04-01 19:55:00,58864.18,58948.58,58855.92,58918.99
2021-04-01 20:00:00,58918.99,58959.99,58871.23,58893.99
2021-04-01 20:05:00,58893.99,58958.26,58865.37,58930.61
2021-04-01 20:10:00,58930.61,58945.72,58887.67,58934.98
2021-04-01 20:15:00,58934.98,59033.0,58900.0,58900.57
2021-04-01 20:20:00,58900.57,58900.57,58621.59,58804.38
2021-04-01 20:25:00,58804.37,58916.51,58799.0,58912.82
2021-04-01 20:30:00,58912.82,59013.83,58895.08,59008.51
2021-04-01 20:35:00,59008.52,59008.52,58865.75,58871.04
2021-04-01 20:40:00,58871.03,58997.4,58854.15,58927.36
2021-04-01 20:45:00,58927.36,59020.0,58868.27,58873.62
2021-04-01 20:50:00,58873.63,58904.36,58844.56,58852.93
2021-04-01 20:55:00,58852.93,58896.32,58790.43,58854.75
2021-04-01 21:00:00,58854.75,58936.15,58853.47,58891.99
2021-04-01 21:05:00,58891.98,58900.0,58740.6,58798.89
2021-04-01 21:10:00,58798.89,58879.39,58790.0,58851.18
2021-04-01 21:15:00,58851.01,58851.01,58763.91,58799.52
2021-04-01 21:20:00,58797.28,58800.17,58737.62,58746.39
2021-04-01 21:25:00,58746.39,58783.75,58686.31,58700.0
2021-04-01 21:30:00,58700.0,58797.25,58613.05,58615.55
2021-04-01 21:35:00,58615.54,58705.79,58544.16,58615.01
2021-04-01 21:40:00,58616.72,58683.3,58558.25,58561.0
2021-04-01 21:45:00,58561.51,58743.27,58561.51,58700.99
2021-04-01 21:50:00,58701.0,58786.86,58701.0,58777.91
2021-04-01 21:55:00,58774.47,58791.56,58713.5,58760.67
2021-04-01 22:00:00,58760.68,58800.11,58756.84,58764.0
2021-04-01 22:05:00,58764.01,58898.11,58524.7,58830.53
2021-04-01 22:10:00,58835.05,58928.47,58835.04,58856.33
2021-04-01 22:15:00,58856.33,58984.12,58856.33,58895.49
2021-04-01 22:20:00,58895.5,58917.38,58797.19,58812.31
2021-04-01 22:25:00,58812.31,58875.76,58801.07,58866.11
2021-04-01 22:30:00,58866.12,58967.86,58866.11,58946.23
2021-04-01 22:35:00,58946.22,59000.0,58908.03,58920.01
2021-04-01 22:40:00,58920.01,59007.88,58874.37,58974.46
2021-04-01 22:45:00,58974.46,59013.7,58876.45,58900.0
2021-04-01 22:50:00,58900.0,58941.62,58862.14,58912.74
2021-04-01 22:55:00,58912.74,59054.72,58912.73,59007.28
2021-04-01 23:00:00,59007.29,59069.74,58987.26,59005.48
